重庆移动内网,#genre#
CCTV1-综合,http://39.134.3.73:6610/000000001666/100000000100111211/1.m3u8
CCTV2-财经,http://39.134.3.73:6610/000000001666/100000000100111001/1.m3u8
CCTV3-综艺,http://39.134.65.181/PLTV/88888888/224/3221225799/1.m3u8
CCTV4-国际,http://39.134.3.73:6610/000000001666/100000000100111003/1.m3u8
CCTV5-体育,http://39.135.135.4/PLTV/88888888/224/3221225818/1.m3u8
CCTV5+赛事,http://39.134.3.73:6610/000000001666/100000000100111005/1.m3u8
CCTV6-电影,http://39.135.135.4/PLTV/88888888/224/3221225814/1.m3u8
CCTV7-军农,http://39.134.3.73:6610/000000001666/100000000100111007/1.m3u8
CCTV8-电视剧,http://39.134.65.181/PLTV/88888888/224/3221225795/1.m3u8
CCTV9-纪录,http://39.134.3.73:6610/000000001666/100000000100111009/1.m3u8
CCTV10-科教,http://39.134.3.73:6610/000000001666/100000000100111010/1.m3u8
CCTV11-戏曲,http://39.134.3.73:6610/000000001666/100000000100111011/1.m3u8
CCTV12-社会与法,http://39.134.3.73:6610/000000001666/100000000100111012/1.m3u8
CCTV13-新闻,http://39.134.3.73:6610/000000001666/100000000100111013/1.m3u8
CCTV14-少儿,http://39.134.3.73:6610/000000001666/100000000100111014/1.m3u8
CCTV15-音乐,http://39.134.3.73:6610/000000001666/100000000100111015/1.m3u8
CCTV16-奥林匹克,http://39.134.3.73:6610/000000001666/100000000100111091/1.m3u8
CCTV17-农业农村,http://39.134.3.73:6610/000000001666/100000000100111016/1.m3u8

重庆卫视,http://39.134.3.73:6610/000000001666/100000000100111017/1.m3u8
东方卫视,http://39.134.3.73:6610/000000001666/100000000100111024/1.m3u8
北京卫视,http://39.134.3.73:6610/000000001666/100000000100111018/1.m3u8
广东卫视,http://39.134.3.73:6610/000000001666/100000000100111019/1.m3u8
江苏卫视,http://39.134.3.73:6610/000000001666/100000000100111021/1.m3u8
湖南卫视,http://39.134.3.73:6610/000000001666/100000000100111023/1.m3u8
深圳卫视,http://39.134.3.73:6610/000000001666/100000000100111022/1.m3u8
广西卫视,http://39.134.3.73:6610/000000001666/100000000100111030/1.m3u8
黑龙江卫视,http://39.134.3.73:6610/000000001666/100000000100111052/1.m3u8
山东卫视,http://39.134.3.73:6610/000000001666/100000000100111037/1.m3u8
浙江卫视,http://39.134.3.73:6610/000000001666/100000000100111020/1.m3u8
安徽卫视,http://39.134.3.73:6610/000000001666/100000000100111038/1.m3u8
四川卫视,http://39.134.3.73:6610/000000001666/100000000100111029/1.m3u8
东南卫视,http://39.134.3.73:6610/000000001666/100000000100111028/1.m3u8
辽宁卫视,http://39.134.3.73:6610/000000001666/100000000100111027/1.m3u8
湖北卫视,http://39.134.3.73:6610/000000001666/100000000100111035/1.m3u8
海南卫视,http://39.134.3.73:6610/000000001666/100000000100111072/1.m3u8
河南卫视,http://39.134.3.73:6610/000000001666/100000000100111090/1.m3u8
陕西卫视,http://39.134.3.73:6610/000000001666/100000000100111033/1.m3u8
贵州卫视,http://39.134.3.73:6610/000000001666/100000000100111034/1.m3u8
天津卫视,http://39.134.3.73:6610/000000001666/100000000100111025/1.m3u8
河北卫视,http://39.134.3.73:6610/000000001666/100000000100111031/1.m3u8
甘肃卫视,http://39.134.3.73:6610/000000001666/100000000100111040/1.m3u8
山西卫视,http://39.134.3.73:6610/000000001666/100000000100111032/1.m3u8
江西卫视,http://39.134.3.73:6610/000000001666/100000000100111026/1.m3u8
吉林卫视,http://39.134.3.73:6610/000000001666/100000000100111049/1.m3u8
宁夏卫视,http://39.134.3.73:6610/000000001666/100000000100111039/1.m3u8
云南卫视,http://39.134.3.73:6610/000000001666/100000000100111051/1.m3u8
青海卫视,http://39.134.3.73:6610/000000001666/100000000100111036/1.m3u8
内蒙古卫视,http://39.134.65.106/PLTV/88888888/224/3221226017/1.m3u8
新疆卫视,http://39.134.3.73:6610/000000001666/100000000100111050/1.m3u8
西藏卫视,http://39.134.3.73:6610/000000001666/100000000100111073/1.m3u8
黑莓动画,http://39.134.3.73:6610/000000001666/100000000100111054/1.m3u8
金鹰卡通,http://39.134.3.73:6610/000000001666/100000000100111044/1.m3u8
嘉佳卡通,http://39.134.3.73:6610/000000001666/100000000100111077/1.m3u8
卡酷少儿,http://39.134.3.73:6610/000000001666/100000000100111045/1.m3u8
优漫卡通,http://39.134.3.73:6610/000000001666/100000000100111047/1.m3u8
哈哈炫动,http://39.134.3.73:6610/000000001666/100000000100111048/1.m3u8

黑莓电影,http://39.134.3.73:6610/000000001666/100000000100111064/1.m3u8
超级电影,http://39.134.3.73:6610/000000001666/100000000100111006/1.m3u8
超级电视剧,http://39.134.3.73:6610/000000001666/100000000100111008/1.m3u8
惊悚悬疑,http://39.134.3.73:6610/000000001666/100000000100111060/1.m3u8
古装剧场,http://39.134.3.73:6610/000000001666/100000000100111056/1.m3u8
动作电影,http://39.134.3.73:6610/000000001666/100000000100111057/1.m3u8
军旅剧场,http://39.134.3.73:6610/000000001666/100000000100111058/1.m3u8
家庭剧场,http://39.134.3.73:6610/000000001666/100000000100111059/1.m3u8

重庆有线内网,#genre#
CCTV1,https://live.mxdyeah.top/live.php?id=cctv1HD
CCTV2,https://live.mxdyeah.top/live.php?id=cctv2HD
CCTV3,https://live.mxdyeah.top/live.php?id=cctv3HD
CCTV4,https://live.mxdyeah.top/live.php?id=cctv4HD
CCTV5,https://live.mxdyeah.top/live.php?id=cctv5HD
CCTV5+,https://live.mxdyeah.top/live.php?id=cctv5SportHD
CCTV6,https://live.mxdyeah.top/live.php?id=cctv6HD
CCTV7,https://live.mxdyeah.top/live.php?id=cctv7HD
CCTV8,https://live.mxdyeah.top/live.php?id=cctv8HD
CCTV9,https://live.mxdyeah.top/live.php?id=cctv9HD
CCTV10,https://live.mxdyeah.top/live.php?id=cctv10HD
CCTV11,https://live.mxdyeah.top/live.php?id=cctv11HD
CCTV12,https://live.mxdyeah.top/live.php?id=cctv12HD
CCTV13,https://live.mxdyeah.top/live.php?id=CCTVNewsHD
CCTV14,https://live.mxdyeah.top/live.php?id=cctvseHD
CCTV15,https://live.mxdyeah.top/live.php?id=cctv15HD
CCTV16,https://live.mxdyeah.top/live.php?id=cctv16HD
CCTV17,https://live.mxdyeah.top/live.php?id=cctv17HD

第一剧场,https://live.mxdyeah.top/live.php?id=diyijuchangHD
风云剧场,https://live.mxdyeah.top/live.php?id=fyjcHD
怀旧剧场,https://live.mxdyeah.top/live.php?id=hjjcHD

重庆卫视,https://live.mxdyeah.top/live.php?id=chongqingHD
重庆新闻,https://live.mxdyeah.top/live.php?id=CQTVNewsHD
重庆影视,https://live.mxdyeah.top/live.php?id=cqyingshiHD
重庆社会与法,https://live.mxdyeah.top/live.php?id=CQTVTrendyHD
重庆时尚生活,https://live.mxdyeah.top/live.php?id=cqssgwHD
重庆文体娱乐,https://live.mxdyeah.top/live.php?id=cqwtylHD
重庆新农村,https://live.mxdyeah.top/live.php?id=cqggncHD
重庆少儿,https://live.mxdyeah.top/live.php?id=cqseHD
重庆科教,https://live.mxdyeah.top/live.php?id=CQTVkejiaoHD

浙江卫视,https://live.mxdyeah.top/live.php?id=zhejiangHD
江苏卫视,https://live.mxdyeah.top/live.php?id=jiangsuHD
北京卫视,https://live.mxdyeah.top/live.php?id=beijingHD
东方卫视,https://live.mxdyeah.top/live.php?id=shanghaiHD
安徽卫视,https://live.mxdyeah.top/live.php?id=anhuiSD
广东卫视,https://live.mxdyeah.top/live.php?id=guangdongHD
深圳卫视,https://live.mxdyeah.top/live.php?id=shenzhenHD
辽宁卫视,https://live.mxdyeah.top/live.php?id=liaoningHD
海南卫视,https://live.mxdyeah.top/live.php?id=hainanSD
天津卫视,https://live.mxdyeah.top/live.php?id=tianjinHD
四川卫视,https://live.mxdyeah.top/live.php?id=sichuanHD
湖南卫视,https://live.mxdyeah.top/live.php?id=hunanHD
东南卫视,https://live.mxdyeah.top/live.php?id=dongnanHD
广西卫视,https://live.mxdyeah.top/live.php?id=guangxiHD
贵州卫视,https://live.mxdyeah.top/live.php?id=guizhouHD
河北卫视,https://live.mxdyeah.top/live.php?id=hebeiSD
黑龙江卫视,https://live.mxdyeah.top/live.php?id=heilongjiangHD
河南卫视,https://live.mxdyeah.top/live.php?id=henanHD
湖北卫视,https://live.mxdyeah.top/live.php?id=hubeiSD
江西卫视,https://live.mxdyeah.top/live.php?id=jiangxiHD
吉林卫视,https://live.mxdyeah.top/live.php?id=jilinHD
青海卫视,https://live.mxdyeah.top/live.php?id=qinghaiSD
海南卫视,https://live.mxdyeah.top/live.php?id=hainanSD
宁夏卫视,https://live.mxdyeah.top/live.php?id=ningxia
山西卫视,https://live.mxdyeah.top/live.php?id=shanxiSD
云南卫视,https://live.mxdyeah.top/live.php?id=yunnanSD
新疆卫视,https://live.mxdyeah.top/live.php?id=xinjiangSD
内蒙古卫视,https://live.mxdyeah.top/live.php?id=neimengkuSD
西藏卫视,https://live.mxdyeah.top/live.php?id=xizangSD
卡酷动画,https://live.mxdyeah.top/live.php?id=bjkakuSD
金鹰卡通,https://live.mxdyeah.top/live.php?id=jinyingSD
快乐垂钓,https://live.mxdyeah.top/live.php?id=klcdHD
都市剧场,https://live.mxdyeah.top/live.php?id=dsjcHD
四海钓鱼,https://live.mxdyeah.top/live.php?id=diaoyu

CHC动作电影,https://live.mxdyeah.top/live.php?id=chcdzdyHD
CHC家庭影院,https://live.mxdyeah.top/live.php?id=chcjtyyHD
CHC影迷电影,https://live.mxdyeah.top/live.php?id=chcgqdyHD
黑莓电影,https://tv2.2cf.x10.mx/gx/3221225740/tv2.m3u8
惊悚悬疑,https://tv2.2cf.x10.mx/gx/3221225746/tv2.m3u8
中国功夫,https://tv2.2cf.x10.mx/gx/3221225690/tv2.m3u8
古装剧场,https://tv2.2cf.x10.mx/gx/3221225706/tv2.m3u8
军旅剧场,https://tv2.2cf.x10.mx/gx/3221225727/tv2.m3u8
动作电影,https://tv2.2cf.x10.mx/gx/3221225703/tv2.m3u8
欢乐剧场,https://tv2.2cf.x10.mx/gx/3221226049/tv2.m3u8
家庭剧场,https://tv2.2cf.x10.mx/gx/3221225743/tv2.m3u8

广西移动内网代理,#genre#
CCTV1,https://tv2.2cf.x10.mx/gx/3221225654/tv2.m3u8
CCTV1,https://tv2.2cf.x10.mx/gx/3221225934/tv2.m3u8
CCTV1,https://tv2.2cf.x10.mx/gx/3221226275/tv2.m3u8
CCTV1,https://tv2.2cf.x10.mx/gx/3221226277/tv2.m3u8
CCTV2,https://tv2.2cf.x10.mx/gx/3221225657/tv2.m3u8
CCTV2,https://tv2.2cf.x10.mx/gx/3221225948/tv2.m3u8
CCTV3,https://tv2.2cf.x10.mx/gx/3221225713/tv2.m3u8
CCTV3,https://tv2.2cf.x10.mx/gx/3221225916/tv2.m3u8
CCTV4,https://tv2.2cf.x10.mx/gx/3221225761/tv2.m3u8
CCTV4,https://tv2.2cf.x10.mx/gx/3221225922/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221225660/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221225796/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221225801/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221225925/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221226274/tv2.m3u8
CCTV5,https://tv2.2cf.x10.mx/gx/3221226279/tv2.m3u8
CCTV5+,https://tv2.2cf.x10.mx/gx/3221225712/tv2.m3u8
CCTV5+,https://tv2.2cf.x10.mx/gx/3221225998/tv2.m3u8
CCTV5+,https://tv2.2cf.x10.mx/gx/3221225837/tv2.m3u8
CCTV6,https://tv2.2cf.x10.mx/gx/3221225715/tv2.m3u8
CCTV6,https://tv2.2cf.x10.mx/gx/3221225936/tv2.m3u8
CCTV7,https://tv2.2cf.x10.mx/gx/3221225700/tv2.m3u8
CCTV7,https://tv2.2cf.x10.mx/gx/3221225892/tv2.m3u8
CCTV8,https://tv2.2cf.x10.mx/gx/3221225716/tv2.m3u8
CCTV8,https://tv2.2cf.x10.mx/gx/3221226001/tv2.m3u8
CCTV9,https://tv2.2cf.x10.mx/gx/3221225663/tv2.m3u8
CCTV9,https://tv2.2cf.x10.mx/gx/3221225939/tv2.m3u8
CCTV10,https://tv2.2cf.x10.mx/gx/3221225704/tv2.m3u8
CCTV10,https://tv2.2cf.x10.mx/gx/3221226004/tv2.m3u8
CCTV11,https://tv2.2cf.x10.mx/gx/3221225739/tv2.m3u8
CCTV11,https://tv2.2cf.x10.mx/gx/3221225895/tv2.m3u8
CCTV12,https://tv2.2cf.x10.mx/gx/3221225645/tv2.m3u8
CCTV12,https://tv2.2cf.x10.mx/gx/3221226013/tv2.m3u8
CCTV13,https://tv2.2cf.x10.mx/gx/3221225742/tv2.m3u8
CCTV13,https://tv2.2cf.x10.mx/gx/3221225759/tv2.m3u8
CCTV13,https://tv2.2cf.x10.mx/gx/3221226046/tv2.m3u8
CCTV13,https://tv2.2cf.x10.mx/gx/3221226276/tv2.m3u8
CCTV14,https://tv2.2cf.x10.mx/gx/3221225901/tv2.m3u8
CCTV14,https://tv2.2cf.x10.mx/gx/3221225648/tv2.m3u8
CCTV15,https://tv2.2cf.x10.mx/gx/3221225693/tv2.m3u8
CCTV15,https://tv2.2cf.x10.mx/gx/3221225945/tv2.m3u8
CCTV16,https://tv2.2cf.x10.mx/gx/3221225937/tv2.m3u8
CCTV16,https://tv2.2cf.x10.mx/gx/3221225956/tv2.m3u8
CCTV16,https://tv2.2cf.x10.mx/gx/3221226282/tv2.m3u8
CCTV17,https://tv2.2cf.x10.mx/gx/3221225766/tv2.m3u8
CCTV17,https://tv2.2cf.x10.mx/gx/3221225910/tv2.m3u8
重庆卫视,https://tv2.2cf.x10.mx/gx/3221225745/tv2.m3u8
重庆卫视,https://tv2.2cf.x10.mx/gx/3221225898/tv2.m3u8
北京卫视,https://tv2.2cf.x10.mx/gx/3221225651/tv2.m3u8
北京卫视,https://tv2.2cf.x10.mx/gx/3221225889/tv2.m3u8
东方卫视,https://tv2.2cf.x10.mx/gx/3221225718/tv2.m3u8
